NAME,SKU CODE BARU,SKU CODE LAMA
DARK CHOCOLATOS LAVA CAKE,CHO-CAKE-001,CHO-CAKE-001
CHOCOLATOS CHOCO CARAMEL CAKE,CHO-CAKE-002,CHO-CAKE-002
CHOCOLATOS TIRAMISU,CHO-CAKE-003,CHO-CAKE-003
TIRAMISU MATCHA,CHO-CAKE-004,
CHOCOLATOS NOUGAT CROISSANT,CHO-CROIS-001,CHO-CROIS-001
MATCHA CHOCOLATOS DUBAI CROISSANT,CHO-CROIS-002,CHO-CROIS-002
HAM & CHEESE CROISSANT,CHO-CROIS-003,CHO-CROIS-003
PICNIC ROLL CROISSANT,CHO-CROIS-004,CHO-CROIS-004
MUSHROOM & CHEESE QUICHE,CHO-QUICHE-001,CHO-QUICHE-001
BBQ ROASTED BEEF SANDWICH,CHO-SAND-001,CHO-SAND-001
CHOCOLATOS COFFEE,CHO-DRINK-001,CHO-COMO-001
RASPBERRY CHOCOLATTE,CHO-DRINK-002,CHO-COMO-002
CARAMEL CHOCOLATTE,CHO-DRINK-004,CHO-COMO-003
SEASALT CHOCOLATOS,CHO-DRINK-003,CHO-NCOMO-001
HONEY ROSE CHOCOLATOS,CHO-DRINK-005,CHO-NCOMO-002
MATCHA SEASALT LATTE,CHO-DRINK-006,CHO-NCOMO-003
STRAWBERRY MATCHA LATTE,CHO-DRINK-007,CHO-NCOMO-004
CHOCOLATOS GODZILLATOS,CHO-DRINK-011,CHO-NCOMO-004
ICE AMERICANO,COF-AMER-001,CHO-COFF-003
ICE COFFEE LATTE,COF-LATT-002,CHO-COFF-002
ICE CAPPUCINO,COF-CAPC-002,CHO-COFF-001
HOT AMERICANO,COF-AMER-002,
HOT LATTE,COF-LATT-001,
HOT CAPPUCINO,COF-CAPC-001,
MINERAL WATER - 500ML,CHO-DRINK-008,CHO-MINWA-001
CAPTAIN INNOVATION - KEY CHAIN PINK,CAP-MERCH-001,CAP-MERCH-001
CAPTAIN INNOVATION - KEY CHAIN BLUE,CAP-KCHAIN-BLUE-001,CAP-KCHAIN-BLUE-001
CAPTAIN INNOVATION - BADGES PINK,CAP-MERCH-002,CAP-MERCH-002
CAPTAIN INNOVATION - BADGES BLUE,CAP-BADGE-BLUE-001,CAP-BADGE-BLUE-001
CAPTAIN INNOVATION - T-SHIRT PINK,CAP-TSHIRT-001,CAP-TSHIRT-001
CAPTAIN INNOVATION - T-SHIRT BLUE,CAP-TSHIRT-BLUE-001,CAP-TSHIRT-BLUE-001
CAPTAIN INNOVATION - HAT PINK,CAP-HAT-001,CAP-HAT-001
CAPTAIN INNOVATION - HAT BLUE,CAP-HAT-BLUE-001,CAP-HAT-BLUE-001
GONDOLA MINIATURE,GEN-MINI-001,GEN-MINI-001
PILLOW CHOCOLATOS 1,GEN-PILLOW-001,GEN-PILLOW-001
PILLOW CHOCOLATOS 2,CHO-PILLOW-002,CHO-PILLOW-002
GULING,GUL-MERCH-001,GUL-MERCH-001
POUCH,GEN-POUCH-001,GEN-POUCH-001
KEY CHAIN GONDOLA,GEN-KEY-001,GEN-KEY-001
TOTEBAG,GEN-TOTE-001,GEN-TOTE-001
TOTEBAG 1,GEN-TOTE-001,GEN-TOTE-001
TOTEBAG 2,GEN-TOTE-002,GEN-TOTE-002
HOODIE CLEVO,GEN-HOODIE-001,GEN-HOODIE-001
CAP CLEVO,GEN-CAP-001,GEN-CAP-001
T-SHIRT CLEVO KIDS,GEN-TSHIRT-001,GEN-TSHIRT-001
T-SHIRT CLEVO DEWASA,TSH-CLEVO-ADL-001,TSH-CLEVO-ADL-001
KEY CHAIN RUBBER CLEVO,GEN-KEY-002,GEN-KEY-002
DOLL - BAG CHARM CLEVO PINK,GEN-DOLL-001,GEN-DOLL-001
DOLL - BAG CHARM CLEVO BLUE,CLE-DOLL-BCHARM-BLUE-001,CLE-DOLL-BCHARM-BLUE-001
BUCKET CLEVO,GEN-BUCKET-001,GEN-BUCKET-001
CAP GERY,GER-CAP-001,GER-CAP-001
TAS BEKAL,GEN-BAG-001,GEN-BAG-001
TAS SELEMPANG,GEN-SLING-001,GEN-SLING-001
BANTAL GERY,#N/A,GER-BANTAL-001
TUMBLER X-QUEST 2,XQ-TUMBLR-002,XQ-TUMBLR-002
TOTEBAG CHOCOLATOS,CHO-TOTE-001,CHO-TOTE-001
TOTEBAG HOLOGRAM,GEN-TOTE-002,TBG-HOLO-001
TUMBLER X-QUEST,GEN-TMBLR-001,GEN-TMBLR-001
TUMBLER X-QUEST,GEN-TMBLR-001,
TUMBLER,GEN-TMBLR-001,
TUMBLER GARUDA,GAR-TMBLR-001,
TOTEBAG HOLOGRAM,TBG-HOLO-001,
TOTEBAG GARUDA,GAR-TOTE-001,
PAKET PRODUK : MIX BRAND 20K,MIX-PKT-001,MIX-PKT-001
PAKET PRODUK : GERY 20K,GER-PKT-001,GER-PKT-001
PAKET PRODUK : GARUDA 20K,GAR-PKT-001,GAR-PKT-001
PAKET PRODUK : CHOCOLATOS 20K,CHO-PKT-001,CHO-PKT-001
GARUDA ROSTA RASA BAWANG 95G,GRKBW7,ORBM
GARUDA ROSTA MAXX BBQ SW,GRXBS7,MAXB2
GARUDA CRUNCHY POTATO BBQ,GPTBQ7,POTA2R
GARUDA CRUNCHY OCORN SEASALT,GCTSS7,POCO2
TINGTING PEANUT BAR,GTPOG5,BTG5
GARUDA PILUS RASA RENDANG SAPI,GPLRE2,PGR7
GARUDA PILUS MI GORENG 80G,GPLMG2,PGM7D
GARUDA PILUS POP -75G,GPOBQ2,POP2
GARUDA ATOM ORIGINAL -100G,GKAOG7,AJTM
GARING GARUDA -200G,GKKOG9,GC
TELUR GARUDA -110G,GKTOG2,TGD
SUSU UHT RASA COKLAT -115ML,LUTCO3,SUC01A
SUSU UHT RASA STROBERI -115ML,LUTST3,SUC02A
CLEVO UHT RASA PLAIN MILK,LUTFK3,LUTFK3
GERY SALUUT MLKST COKELAT F.PA,EMACO2,MALS2K
GERY SALUUT MALKIST KEJU S.PAC,EMAKJ2,MAJU2K
GERY SALUUT MALKIST KELAPA F.P,EMAKP2,MACO2K
GERY SALUUT MALKIST MATCHA F.P,EMAMA2,MACA2K
GERY SALUUT MLKST CKLT KELAPA,EMACK2,MACC2K
GERY SNACK KENTANG,EBKBQ8,GOTA8
GERY SALUUT WAFER KELAPA S.PAC,EWCKP5,CSCO5
WAFER CREAM COKLAT KELAPA,EWCCO5,CSCC5
GERY SNACK BANTAL 75G,ESBCO2,PILO7
GERY SNACK & SEREAL  -100G,ESECO7,BIC7
CHOCOLATOS RICH CHOCOLATE COAT,CRCCO2,RICH2
CHOCOLATOS ROLL CHOCOLATE COAT,CRCCO5,RICH5
CHOCOLATOS WAFER STICK CHOCOLA,CWSCO8,WCG8K
CHOCOLATOS DARK  -14G,CWSDC8,WCC8K
WAFER STICK VANILLA -12G,CWSVA8,WCV8K
WAFER STICK CHEESE 14G,CWSKJ8,WJU8K
CHOCOLATOS WAFER CREAM ORIGINA,CWCCO8,WAFO8
CHOCOLATOS MIX CHOCOLATE-DARK,CWSMD8,WCXG8
CHOCOLATOS WS MIX VANILLA,CWSMV8,⁠WCXV8
CHOCOLATOS DELIGHT VANILLA 90G,CWSVA2,WCV2L
CHOCOLATOS DELIGHT CHOCOLATE,CWSCO2,WCG2L
CHOCOLATOS PILLOW CHOCOLATE,CPICO5,EXCO5
CHOCOLATOS MATCHA DRINK  -24G,CRSMA5,DACA5
CHOCOLATOS CHOCOLATE DRINK,CRSCO5,DRINK5
CHOCOLATOS DRINK CREAMY CHOCO,CRSCR5,DRIM5
CHOCOLATOS VANILLA LATTE -26 G,CRSVA5,DIVA5
CHOCOLATOS DRINK RTS KURMA -26G,CRSKU5,DRINK5
CHOCOLATOS DRINK CHOCO MILK,CUTCO3,TMILK2
CHOCOLATOS DRINK BOTOL,CRDCO2,BRINK2
CHOCOLATOS CHOCO DRINK TETRA,CRDCO3,TRINK2
PROCHIZ CHEDDAR SLICE 10'S,CSL10,CSL10
PROCHIZ CHEDDAR SLICE 5'S,CSL05,
PROCHIZ GOLD 160 G,GBLM1,GBLM1
PROCHIZ SPREADY 160 G,SBLM1,SBLM1
PROCHIZ CHEDDAR PREMIUM 160 G,CBLM1,CBLM1
PROCHIZ QUICK MELT 160 G,QBLM1,QBLM1
PROCHIZ CHEESE SNACK -16G,PACA5,PACA5
OKKY MAXX BLACKCURRANT,OJMBT5,OKJMBL20
OKKY MAXX FRUITY LOLLIPOP,OJMLO5,OKJMFL20
OKKY MAXX STRAWBERRY,OJMST5,OKJMST20
OKKY JELLY DRINK MAXX GUAVA,OJMJU5,OKJMJA20
OKKY JELLY DRINK MAXX ORANGE,OJMJE5,OKJMJE20
OKKY KOKO ION ORIGINAL 220ML,OKIOG5,OKKIOR20
MOUNTEA XTRA BLACKCURRANT COOL,MXTBT5,MTFXBO20
MOUNTEA MAXX KOREAN GRAPE,MMTKG3,MMTKG3
BAULI MOONFILS WITH STRAWBERRY,BCRST2,BCRST2
BAULI MOONFILS WITH CHOCOLATE,BCRCO2,BCRCO2
CHOCOLATOS DRINK RTS KURMA -26G,CRSKU5,